#step	time	mdot360	FmomInletX360	FpInletGaugeX360	FpWallX360	FshearWallX360	T_CFD360	T_ideal360	Cfg
0	0	-0	-0	0	0	-0.00121302	-0.00121302	-0	0
1	1.2e-06	-0	-0	83.4848	-0.0422454	-0.00121301	83.4413	-0	0
2	2.64e-06	0.0118485	0.358058	83.167	-0.088227	-0.0012405	83.4356	6.49984	12.8366
3	4.368e-06	0.0210175	0.958319	82.7619	-0.137111	-0.00127324	83.5819	11.5297	7.24925
4	6.14647e-06	0.0316568	1.9258	82.1997	-0.18021	-0.00130677	83.9439	17.3662	4.83376
5	7.92449e-06	0.0421338	3.17868	81.5113	-0.216416	-0.00134021	84.4722	23.1137	3.65464
6	9.70231e-06	0.0520965	4.65855	80.7169	-0.246068	-0.00137367	85.128	28.579	2.97869
7	1.14801e-05	0.0615372	6.32499	79.8349	-0.269469	-0.00140721	85.8891	33.7579	2.54427
8	1.32581e-05	0.0704604	8.14148	78.8818	-0.286957	-0.00144089	86.7349	38.653	2.24394
9	1.50363e-05	0.0788795	10.0758	77.8718	-0.298936	-0.00147475	87.6472	43.2715	2.02552
10	1.68148e-05	0.0868127	12.0997	76.8178	-0.305879	-0.00150882	88.61	47.6235	1.86064
11	1.85934e-05	0.094281	14.1885	75.7308	-0.307977	-0.00154314	89.6097	51.7204	1.73258
12	2.03723e-05	0.101305	16.3202	74.621	-0.306185	-0.00157769	90.6335	55.5738	1.63087
13	2.21514e-05	0.107905	18.4751	73.498	-0.301183	-0.00161248	91.6704	59.1945	1.54863
14	2.39307e-05	0.114099	20.6346	72.3709	-0.29367	-0.00164748	92.7103	62.5919	1.48119
15	2.56988e-05	0.119899	22.7736	71.2565	-0.28422	-0.00168245	93.7441	65.7738	1.42525
16	2.74385e-05	0.125282	24.8568	70.1748	-0.273604	-0.00171702	94.7562	68.7267	1.37874
17	2.91507e-05	0.130212	26.8581	69.134	-0.262664	-0.00175114	95.7277	71.4314	1.34013
18	3.08367e-05	0.134713	28.7636	68.142	-0.251896	-0.00178479	96.6519	73.9003	1.30787
19	3.24975e-05	0.138802	30.5601	67.2063	-0.241487	-0.00181795	97.5231	76.1436	1.28078
20	3.41343e-05	0.142495	32.2348	66.3346	-0.232296	-0.00185056	98.3353	78.1694	1.25798
21	3.57484e-05	0.145803	33.7755	65.5343	-0.224482	-0.00188259	99.0834	79.9842	1.23879
22	3.73407e-05	0.148736	35.1707	64.8122	-0.218056	-0.001914	99.7629	81.593	1.22269
23	3.89124e-05	0.1513	36.4097	64.175	-0.213138	-0.00194474	100.37	82.9999	1.20927
24	4.04647e-05	0.153503	37.4829	63.6285	-0.209901	-0.00197479	100.899	84.2083	1.19821
25	4.19988e-05	0.155349	38.3823	63.1775	-0.208314	-0.00200411	101.35	85.2209	1.18926
26	4.35156e-05	0.156843	39.1015	62.8261	-0.208229	-0.00203273	101.717	86.0405	1.1822
27	4.50165e-05	0.15799	39.6357	62.577	-0.209116	-0.00206062	102.001	86.6695	1.1769
28	4.65023e-05	0.158794	39.9825	62.4315	-0.210689	-0.0020878	102.201	87.1106	1.17324
29	4.79744e-05	0.15926	40.1415	62.3897	-0.212681	-0.00211427	102.316	87.3664	1.17112
30	4.94336e-05	0.159394	40.1145	62.4503	-0.214915	-0.00214005	102.348	87.4398	1.17049
31	5.08811e-05	0.159201	39.9052	62.6107	-0.216927	-0.00216521	102.297	87.3341	1.17133
32	5.23178e-05	0.158688	39.519	62.8674	-0.218731	-0.00218976	102.165	87.0524	1.17361
33	5.37447e-05	0.157859	38.957	63.2216	-0.220079	-0.00221377	101.956	86.598	1.17735
34	5.51621e-05	0.156702	38.2103	63.6805	-0.220858	-0.00223723	101.668	85.9634	1.18269
35	5.65694e-05	0.15518	37.2858	64.2304	-0.221031	-0.00226018	101.293	85.1283	1.18988
36	5.79678e-05	0.15332	36.2111	64.8536	-0.220632	-0.00228269	100.842	84.1078	1.19896
37	5.93588e-05	0.151162	35.0564	65.4938	-0.219713	-0.00230495	100.328	82.9239	1.20988
38	6.07431e-05	0.148888	33.8828	66.1351	-0.218327	-0.00232698	99.7972	81.6766	1.22186
39	6.21215e-05	0.14655	32.7169	66.7638	-0.216533	-0.00234881	99.2618	80.3939	1.23469
40	6.34949e-05	0.144196	31.5829	67.3675	-0.21433	-0.00237049	98.7337	79.1026	1.24817
41	6.4864e-05	0.141875	30.5016	67.936	-0.21165	-0.0023921	98.2236	77.8296	1.26203
42	6.62295e-05	0.139633	29.4898	68.4619	-0.208722	-0.00241368	97.7405	76.5997	1.27599
43	6.75917e-05	0.137509	28.5595	68.94	-0.205669	-0.00243528	97.2914	75.4342	1.28975
44	6.89512e-05	0.135532	27.7187	69.3675	-0.202599	-0.00245694	96.8811	74.3498	1.30305
45	7.03081e-05	0.133727	26.9725	69.7423	-0.199628	-0.0024787	96.5127	73.3596	1.31561
46	7.16621e-05	0.132114	26.3224	70.0653	-0.196867	-0.00250059	96.1883	72.4747	1.3272
